record in kb
time		total		used		free
[09:34:49]		1048572		0		1048572
[09:34:52]		1048572		0		1048572
[09:34:55]		1048572		0		1048572
[09:34:58]		1048572		0		1048572
[09:35:01]		1048572		0		1048572
[09:35:04]		1048572		0		1048572
[09:35:07]		1048572		0		1048572
[09:35:10]		1048572		0		1048572
[09:35:13]		1048572		0		1048572
[09:35:16]		1048572		0		1048572
[09:35:19]		1048572		0		1048572
[09:35:22]		1048572		0		1048572
[09:35:25]		1048572		0		1048572
[09:35:28]		1048572		12		1048560
[09:35:31]		1048572		12		1048560
[09:35:34]		1048572		168		1048404
[09:35:37]		1048572		292		1048280
[09:35:40]		1048572		528		1048044
[09:35:43]		1048572		708		1047864
[09:35:46]		1048572		932		1047640
[09:35:49]		1048572		1064		1047508
[09:35:52]		1048572		1304		1047268
[09:35:55]		1048572		1852		1046720
[09:35:58]		1048572		2600		1045972
[09:36:01]		1048572		3492		1045080
[09:36:04]		1048572		4864		1043708
[09:36:07]		1048572		7244		1041328
[09:36:10]		1048572		10768		1037804
[09:36:13]		1048572		12068		1036504
[09:36:16]		1048572		12700		1035872
[09:36:19]		1048572		13072		1035500
[09:36:22]		1048572		13960		1034612
[09:36:25]		1048572		14408		1034164
[09:36:28]		1048572		14672		1033900
[09:36:31]		1048572		14716		1033856
[09:36:34]		1048572		14804		1033768
[09:36:37]		1048572		15028		1033544
[09:36:40]		1048572		15528		1033044
[09:36:43]		1048572		15528		1033044
[09:36:46]		1048572		15528		1033044
[09:36:49]		1048572		15528		1033044
[09:36:52]		1048572		15528		1033044
[09:36:55]		1048572		15528		1033044
[09:36:58]		1048572		15528		1033044
[09:37:01]		1048572		15528		1033044
[09:37:04]		1048572		15528		1033044
[09:37:07]		1048572		15528		1033044
[09:37:10]		1048572		15528		1033044
[09:37:13]		1048572		15528		1033044
[09:37:16]		1048572		15528		1033044
[09:37:19]		1048572		15528		1033044
[09:37:22]		1048572		15432		1033140
[09:37:25]		1048572		15376		1033196
[09:37:28]		1048572		15376		1033196
[09:37:31]		1048572		15376		1033196
[09:37:34]		1048572		15376		1033196
[09:37:37]		1048572		15376		1033196
[09:37:40]		1048572		15376		1033196
[09:37:43]		1048572		15376		1033196
[09:37:46]		1048572		15376		1033196
[09:37:49]		1048572		15376		1033196
[09:37:52]		1048572		15376		1033196
[09:37:55]		1048572		15584		1032988
[09:37:58]		1048572		15592		1032980
[09:38:01]		1048572		15820		1032752
[09:38:04]		1048572		15912		1032660
[09:38:07]		1048572		16096		1032476
[09:38:10]		1048572		16224		1032348
[09:38:13]		1048572		16264		1032308
[09:38:16]		1048572		16776		1031796
[09:38:19]		1048572		16812		1031760
[09:38:22]		1048572		17052		1031520
[09:38:25]		1048572		17048		1031524
[09:38:28]		1048572		17048		1031524
[09:38:31]		1048572		17048		1031524
[09:38:34]		1048572		17048		1031524
[09:38:37]		1048572		17048		1031524
[09:38:40]		1048572		17048		1031524
[09:38:43]		1048572		17048		1031524
[09:38:46]		1048572		17048		1031524
[09:38:49]		1048572		17048		1031524
[09:38:52]		1048572		17048		1031524
[09:38:55]		1048572		17048		1031524
[09:38:58]		1048572		17048		1031524
[09:39:01]		1048572		17048		1031524
[09:39:04]		1048572		16968		1031604
[09:39:07]		1048572		16968		1031604
[09:39:10]		1048572		16968		1031604
[09:39:13]		1048572		16968		1031604
[09:39:16]		1048572		16968		1031604
[09:39:19]		1048572		16968		1031604
[09:39:22]		1048572		16968		1031604
[09:39:25]		1048572		16968		1031604
[09:39:28]		1048572		16968		1031604
[09:39:31]		1048572		16968		1031604
[09:39:34]		1048572		16968		1031604
[09:39:37]		1048572		16968		1031604
[09:39:40]		1048572		16968		1031604
[09:39:43]		1048572		16968		1031604
[09:39:46]		1048572		16968		1031604
[09:39:49]		1048572		16968		1031604
[09:39:52]		1048572		16968		1031604
[09:39:55]		1048572		16968		1031604
[09:39:58]		1048572		16968		1031604
[09:40:01]		1048572		16968		1031604
[09:40:04]		1048572		17308		1031264
[09:40:07]		1048572		17804		1030768
[09:40:10]		1048572		17812		1030760
[09:40:13]		1048572		17812		1030760
[09:40:16]		1048572		17812		1030760
[09:40:19]		1048572		17812		1030760
[09:40:22]		1048572		17812		1030760
[09:40:25]		1048572		17812		1030760
[09:40:28]		1048572		17812		1030760
[09:40:31]		1048572		17812		1030760
[09:40:34]		1048572		17812		1030760
[09:40:37]		1048572		17812		1030760
[09:40:40]		1048572		17812		1030760
[09:40:43]		1048572		17812		1030760
[09:40:46]		1048572		17812		1030760
[09:40:49]		1048572		17820		1030752
[09:40:52]		1048572		17820		1030752
[09:40:55]		1048572		17820		1030752
[09:40:58]		1048572		17820		1030752
[09:41:01]		1048572		17820		1030752
[09:41:04]		1048572		17820		1030752
[09:41:07]		1048572		17820		1030752
[09:41:10]		1048572		17820		1030752
[09:41:13]		1048572		18172		1030400
[09:41:16]		1048572		18172		1030400
[09:41:19]		1048572		18356		1030216
[09:41:22]		1048572		18368		1030204
[09:41:25]		1048572		18368		1030204
[09:41:28]		1048572		18368		1030204
[09:41:31]		1048572		18368		1030204
[09:41:34]		1048572		18368		1030204
[09:41:37]		1048572		18368		1030204
[09:41:40]		1048572		18380		1030192
[09:41:43]		1048572		18380		1030192
[09:41:46]		1048572		18380		1030192
[09:41:49]		1048572		18392		1030180
[09:41:52]		1048572		18392		1030180
[09:41:55]		1048572		18392		1030180
[09:41:58]		1048572		18392		1030180
[09:42:01]		1048572		18392		1030180
[09:42:04]		1048572		18392		1030180
[09:42:07]		1048572		18472		1030100
[09:42:10]		1048572		18568		1030004
[09:42:13]		1048572		18568		1030004
[09:42:16]		1048572		18568		1030004
[09:42:19]		1048572		18616		1029956
[09:42:22]		1048572		18628		1029944
[09:42:25]		1048572		18628		1029944
[09:42:28]		1048572		18700		1029872
[09:42:31]		1048572		18700		1029872
[09:42:34]		1048572		19140		1029432
[09:42:37]		1048572		19140		1029432
[09:42:40]		1048572		19140		1029432
[09:42:43]		1048572		19140		1029432
[09:42:46]		1048572		19140		1029432
[09:42:49]		1048572		19140		1029432
[09:42:52]		1048572		19140		1029432
[09:42:55]		1048572		19140		1029432
[09:42:58]		1048572		19140		1029432
[09:43:01]		1048572		19140		1029432
[09:43:04]		1048572		19140		1029432
[09:43:07]		1048572		19140		1029432
[09:43:10]		1048572		19140		1029432
[09:43:13]		1048572		19140		1029432
[09:43:16]		1048572		19140		1029432
[09:43:19]		1048572		19140		1029432
[09:43:22]		1048572		19140		1029432
[09:43:26]		1048572		19140		1029432
[09:43:29]		1048572		19140		1029432
[09:43:32]		1048572		19140		1029432
[09:43:35]		1048572		19140		1029432
[09:43:38]		1048572		19140		1029432
[09:43:41]		1048572		19140		1029432
[09:43:44]		1048572		19140		1029432
[09:43:47]		1048572		19140		1029432
[09:43:50]		1048572		19140		1029432
[09:43:53]		1048572		19140		1029432
[09:43:56]		1048572		19140		1029432
[09:43:59]		1048572		19140		1029432
[09:44:02]		1048572		19140		1029432
[09:44:05]		1048572		19140		1029432
[09:44:08]		1048572		19140		1029432
[09:44:11]		1048572		19140		1029432
[09:44:14]		1048572		19140		1029432
[09:44:17]		1048572		19140		1029432
[09:44:20]		1048572		19140		1029432
[09:44:23]		1048572		19140		1029432
[09:44:26]		1048572		19140		1029432
[09:44:29]		1048572		19140		1029432
[09:44:32]		1048572		19140		1029432
[09:44:35]		1048572		19140		1029432
[09:44:38]		1048572		19144		1029428
[09:44:41]		1048572		19144		1029428
[09:44:44]		1048572		19144		1029428
[09:44:47]		1048572		19144		1029428
[09:44:50]		1048572		19144		1029428
[09:44:53]		1048572		19144		1029428
[09:44:56]		1048572		19144		1029428
[09:44:59]		1048572		19144		1029428
[09:45:02]		1048572		19144		1029428
[09:45:05]		1048572		19144		1029428
[09:45:08]		1048572		19144		1029428
[09:45:11]		1048572		19144		1029428
[09:45:14]		1048572		19144		1029428
[09:45:17]		1048572		19144		1029428
[09:45:20]		1048572		19144		1029428
[09:45:23]		1048572		19148		1029424
[09:45:26]		1048572		19148		1029424
[09:45:29]		1048572		19148		1029424
[09:45:32]		1048572		19148		1029424
[09:45:35]		1048572		19144		1029428
[09:45:38]		1048572		19144		1029428
[09:45:41]		1048572		19144		1029428
[09:45:44]		1048572		19144		1029428
[09:45:47]		1048572		19144		1029428
[09:45:50]		1048572		19144		1029428
[09:45:53]		1048572		19144		1029428
[09:45:56]		1048572		19144		1029428
[09:45:59]		1048572		19144		1029428
[09:46:02]		1048572		19144		1029428
[09:46:05]		1048572		19144		1029428
[09:46:08]		1048572		19144		1029428
[09:46:11]		1048572		19144		1029428
[09:46:14]		1048572		19144		1029428
[09:46:17]		1048572		19144		1029428
[09:46:20]		1048572		19144		1029428
[09:46:23]		1048572		19144		1029428
[09:46:26]		1048572		19144		1029428
[09:46:29]		1048572		19144		1029428
[09:46:32]		1048572		19144		1029428
[09:46:35]		1048572		19144		1029428
[09:46:38]		1048572		19144		1029428
[09:46:41]		1048572		19144		1029428
[09:46:44]		1048572		19144		1029428
[09:46:47]		1048572		19144		1029428
[09:46:50]		1048572		19144		1029428
[09:46:53]		1048572		19144		1029428
[09:46:56]		1048572		19144		1029428
[09:46:59]		1048572		19144		1029428
[09:47:02]		1048572		19144		1029428
[09:47:05]		1048572		19144		1029428
[09:47:08]		1048572		19144		1029428
[09:47:11]		1048572		19344		1029228
[09:47:14]		1048572		19344		1029228
[09:47:17]		1048572		19344		1029228
[09:47:20]		1048572		19344		1029228
[09:47:23]		1048572		19344		1029228
[09:47:26]		1048572		19344		1029228
[09:47:29]		1048572		19344		1029228
[09:47:32]		1048572		19344		1029228
[09:47:35]		1048572		19344		1029228
[09:47:38]		1048572		19344		1029228
[09:47:41]		1048572		19344		1029228
[09:47:44]		1048572		19344		1029228
[09:47:47]		1048572		19344		1029228
[09:47:50]		1048572		19344		1029228
[09:47:53]		1048572		19344		1029228
[09:47:56]		1048572		19344		1029228
[09:47:59]		1048572		19344		1029228
[09:48:02]		1048572		19344		1029228
[09:48:05]		1048572		19344		1029228
[09:48:08]		1048572		19344		1029228
[09:48:11]		1048572		19344		1029228
[09:48:14]		1048572		19344		1029228
[09:48:17]		1048572		19344		1029228
[09:48:20]		1048572		19344		1029228
[09:48:23]		1048572		19344		1029228
[09:48:26]		1048572		19344		1029228
[09:48:29]		1048572		19344		1029228
[09:48:32]		1048572		19344		1029228
[09:48:35]		1048572		19344		1029228
[09:48:38]		1048572		19344		1029228
[09:48:41]		1048572		19344		1029228
[09:48:44]		1048572		19344		1029228
