,off,on
avrora,14308,15071
eclipse,134792,167171
fop,12825,14889
h2,14172,21772
jython,41577,42381
luindex,5050,5918
lusearch,12219,13423
pmd,23357,23009
sunflow,24007,24588
tomcat,24666,25139
tradebeans,24071,25016
tradesoap,90503,98130
xalan,17167,18954
