record in kb
time		total		used		free
[10:18:57]		1048572		15268		1033304
[10:19:00]		1048572		15268		1033304
[10:19:03]		1048572		15268		1033304
[10:19:06]		1048572		15268		1033304
[10:19:09]		1048572		15268		1033304
[10:19:12]		1048572		15268		1033304
[10:19:15]		1048572		15268		1033304
[10:19:18]		1048572		15268		1033304
[10:19:21]		1048572		15268		1033304
[10:19:24]		1048572		15268		1033304
[10:19:27]		1048572		15284		1033288
[10:19:30]		1048572		15884		1032688
[10:19:33]		1048572		15884		1032688
[10:19:36]		1048572		15884		1032688
[10:19:39]		1048572		15688		1032884
[10:19:42]		1048572		15688		1032884
[10:19:45]		1048572		15688		1032884
[10:19:48]		1048572		15688		1032884
[10:19:51]		1048572		15688		1032884
[10:19:54]		1048572		17600		1030972
[10:19:57]		1048572		19868		1028704
[10:20:00]		1048572		26664		1021908
[10:20:03]		1048572		30064		1018508
[10:20:06]		1048572		33596		1014976
[10:20:09]		1048572		17616		1030956
[10:20:12]		1048572		17616		1030956
[10:20:15]		1048572		17608		1030964
[10:20:18]		1048572		17608		1030964
[10:20:21]		1048572		17604		1030968
[10:20:24]		1048572		17604		1030968
[10:20:27]		1048572		17636		1030936
[10:20:30]		1048572		17672		1030900
[10:20:33]		1048572		17672		1030900
[10:20:36]		1048572		17672		1030900
[10:20:39]		1048572		17700		1030872
[10:20:42]		1048572		17784		1030788
[10:20:45]		1048572		19148		1029424
[10:20:48]		1048572		19148		1029424
[10:20:51]		1048572		19148		1029424
[10:20:54]		1048572		19148		1029424
[10:20:57]		1048572		19148		1029424
[10:21:00]		1048572		19148		1029424
[10:21:03]		1048572		19172		1029400
[10:21:06]		1048572		19176		1029396
[10:21:09]		1048572		19176		1029396
[10:21:12]		1048572		19176		1029396
[10:21:15]		1048572		19176		1029396
[10:21:18]		1048572		19176		1029396
[10:21:21]		1048572		19176		1029396
[10:21:24]		1048572		19176		1029396
[10:21:27]		1048572		19176		1029396
[10:21:30]		1048572		19176		1029396
[10:21:33]		1048572		19176		1029396
[10:21:36]		1048572		19176		1029396
[10:21:39]		1048572		19176		1029396
[10:21:42]		1048572		19176		1029396
[10:21:45]		1048572		19176		1029396
[10:21:48]		1048572		19176		1029396
[10:21:51]		1048572		19176		1029396
[10:21:54]		1048572		19176		1029396
[10:21:57]		1048572		19176		1029396
[10:22:00]		1048572		19176		1029396
[10:22:03]		1048572		19176		1029396
[10:22:06]		1048572		19176		1029396
[10:22:09]		1048572		19176		1029396
[10:22:12]		1048572		19176		1029396
[10:22:15]		1048572		19176		1029396
[10:22:18]		1048572		19192		1029380
[10:22:21]		1048572		19228		1029344
[10:22:24]		1048572		19244		1029328
[10:22:27]		1048572		19252		1029320
[10:22:30]		1048572		32320		1016252
[10:22:33]		1048572		34776		1013796
[10:22:36]		1048572		40784		1007788
[10:22:39]		1048572		44496		1004076
[10:22:42]		1048572		19256		1029316
[10:22:45]		1048572		19180		1029392
[10:22:48]		1048572		19180		1029392
[10:22:51]		1048572		19180		1029392
[10:22:55]		1048572		19180		1029392
[10:22:57]		1048572		19180		1029392
[10:23:01]		1048572		19176		1029396
[10:23:04]		1048572		19176		1029396
[10:23:07]		1048572		19176		1029396
[10:23:10]		1048572		19176		1029396
[10:23:13]		1048572		19176		1029396
[10:23:16]		1048572		19176		1029396
[10:23:19]		1048572		19176		1029396
[10:23:22]		1048572		19340		1029232
[10:23:25]		1048572		19340		1029232
[10:23:28]		1048572		19340		1029232
[10:23:31]		1048572		19340		1029232
[10:23:34]		1048572		19340		1029232
[10:23:37]		1048572		19340		1029232
[10:23:40]		1048572		19340		1029232
[10:23:43]		1048572		19340		1029232
[10:23:46]		1048572		19340		1029232
[10:23:49]		1048572		19340		1029232
[10:23:52]		1048572		24664		1023908
[10:23:55]		1048572		26968		1021604
[10:23:58]		1048572		27476		1021096
[10:24:01]		1048572		19176		1029396
[10:24:04]		1048572		19152		1029420
[10:24:07]		1048572		19152		1029420
[10:24:10]		1048572		19152		1029420
[10:24:13]		1048572		19152		1029420
[10:24:16]		1048572		19152		1029420
[10:24:19]		1048572		19152		1029420
[10:24:22]		1048572		19152		1029420
[10:24:25]		1048572		19152		1029420
[10:24:28]		1048572		19152		1029420
[10:24:31]		1048572		19152		1029420
[10:24:34]		1048572		19152		1029420
[10:24:37]		1048572		19164		1029408
[10:24:40]		1048572		19164		1029408
[10:24:43]		1048572		19164		1029408
[10:24:46]		1048572		19164		1029408
[10:24:49]		1048572		19164		1029408
[10:24:52]		1048572		19164		1029408
[10:24:55]		1048572		19164		1029408
[10:24:58]		1048572		19164		1029408
[10:25:01]		1048572		19164		1029408
[10:25:04]		1048572		19164		1029408
[10:25:07]		1048572		19164		1029408
[10:25:10]		1048572		19164		1029408
[10:25:13]		1048572		19164		1029408
[10:25:16]		1048572		19152		1029420
[10:25:19]		1048572		19152		1029420
[10:25:22]		1048572		19152		1029420
[10:25:25]		1048572		19152		1029420
[10:25:28]		1048572		19152		1029420
[10:25:31]		1048572		19152		1029420
[10:25:34]		1048572		19152		1029420
[10:25:37]		1048572		19152		1029420
[10:25:40]		1048572		19152		1029420
[10:25:43]		1048572		19152		1029420
[10:25:46]		1048572		19164		1029408
[10:25:49]		1048572		19252		1029320
[10:25:52]		1048572		19252		1029320
[10:25:55]		1048572		19252		1029320
[10:25:58]		1048572		19252		1029320
